id,name,code,account_type,tag_ids,reconcile
account_account_template_1,بانک ریالی,11101,asset_cash,,0
account_account_template_2,بانک ارزی,11201,asset_cash,,0
account_account_template_3,معلق بانک ریالی,11401,asset_current,,0
account_account_template_4,حساب معلق عمومی,11499,asset_current,,0
account_account_template_5,وجوه دریافتی  بانک ریالی,11501,asset_current,,1
account_account_template_6,وجوه دریافتی بدون تطبیق، عمومی,11599,asset_current,,1
account_account_template_7,وجوه پرداختی بانک ریالی,11601,asset_current,,1
account_account_template_8,وجوه پرداختی بدون تطبیق، عمومی,11699,asset_current,,1
account_account_template_9,حساب معلق اول دوره,11799,asset_current,,0
account_account_template_10,انتقال نقدینگی,11901,asset_current,,1
account_account_template_11,تنخواه,12101,asset_cash,,0
account_account_template_12,صندوق شرکت,12201,asset_cash,,0
account_account_template_13,صندوق ارزی,12202,asset_cash,,0
account_account_template_14,حساب های دریافتنی,13101,asset_receivable,,1
account_account_template_15,مالیات دریافتنی,13104,asset_receivable,,1
account_account_template_16,اسناد دریافتنی,13202,asset_current,,1
account_account_template_17,حسابهای دریافتنی - صرافی,13301,asset_receivable,,1
account_account_template_18,سپرده بانک,14101,asset_receivable,,1
account_account_template_19,اوراق بهادار,14201,asset_cash,,0
account_account_template_20,ضمانت نامه بانک,14301,asset_cash,,0
account_account_template_21,پیش پرداخت اینترنت,15102,asset_prepayments,,0
account_account_template_22,پیش پرداخت خرید کالا,15201,asset_prepayments,,0
account_account_template_23,پیش پرداخت بیمه وسایط نقلیه,15202,asset_prepayments,,0
account_account_template_24,پیش پرداخت بیمه تکمیلی,15203,asset_prepayments,,0
account_account_template_25,پیش پرداخت بیمه آتش سوزی,15204,asset_prepayments,,0
account_account_template_26,پیش پرداخت بیمه مسئولیت مدنی,15205,asset_prepayments,,0
account_account_template_27,پیش پرداخت رستوران ها,15219,asset_prepayments,,0
account_account_template_28,پیش پرداخت مالیات,15301,asset_prepayments,,0
account_account_template_29,پیش پرداخت خرید دارایی / زمین,15401,asset_prepayments,,0
account_account_template_30,سایر پیش پرداخت ها,15901,asset_prepayments,,0
account_account_template_31,سپرده حسن انجام کار,15902,asset_prepayments,,0
account_account_template_32,سپرده بیمه پیمانکاران,15903,asset_prepayments,,0
account_account_template_33,بیمه تکمیلی,15912,asset_prepayments,,0
account_account_template_34,بیمه آتش سوزی,15913,asset_prepayments,,0
account_account_template_35,پیش پرداخت رفاه,15914,asset_prepayments,,0
account_account_template_36,موجودی محصول,16101,asset_current,,0
